PARK NAME,ADDRESS,XCoord,YCoord,ACCESSIBLE,SIZE_,DISTANCE
ABORIGINAL,2376 NORTHWAY AVE,42.27284054,-83.04558096,NO,SMALL
AKO,4271 ALICE ST,42.31429808,-82.97766909,NO,LARGE
ALEXANDER,3700 RIVERSIDE DR E,42.3274417,-82.99217539,YES,LARGE
ALTON C PARKER,450 BRODHEAD STREET,42.31247255,-83.02770294,NO,SMALL
AVON COURT,3901 KENNEDY DR W,42.25157551,-83.01908199,YES,SMALL
AVONDALE PLAYLOT,402 GRAND MARAIS W,42.27411082,-83.01643096,NO,SMALL
GREAT WESTERN PARK (AYLMER COMFORT STATION),1388 RIVERSIDE DRIVE E,42.32219238,-83.03056705,YES,LARGE
BALSAMO,2240 DANDURAND AVE,42.28246042,-83.02994612,NO,MEDIUM
BELLEWOOD,2600 YOUNGSTOWN ST,42.26689367,-83.04123688,YES,MEDIUM
BRADLEY,3460 CROSS ST,42.29548527,-83.07622628,NO,MEDIUM
BRIDGEVIEW,1899 GROVE AVE,42.29870342,-83.05314849,YES,LARGE
BROOKVIEW,1097 BROOKVIEW CRES,42.28284224,-82.99808459,NO,SMALL
BRUCE AVENUE,700 BRUCE AVE,42.31130029,-83.04084789,YES,MEDIUM
BRUMPTON,8890 CEDARVIEW ST,42.34000004,-82.93476297,YES,MEDIUM
BUSH,9475 ESPLANADE DRIVE,42.31094954,-82.9247831,YES,MEDIUM
CALDERWOOD,1859 CALDERWOOD AVE,42.27006898,-82.97949501,NO,MEDIUM
CAPTAIN JOHN WILSON,3950 DUCHARME STREET,42.25421112,-82.97419957,YES,LARGE
CAPTAIN JOHN WILSON,3950 DUCHARME STREET,42.2515469,-82.9682257,NO,SMALL
CENTRAL,3301 WOODLAND AVE,42.26393649,-83.01530206,YES,LARGE
CHOPIN,1298 ROSSINI BLVD,42.32152457,-82.98200712,NO,MEDIUM
CLAY,1498 HALL AVENUE,42.3070974,-83.00955129,NO,MEDIUM
COLETTA,2979 COLETTA COURT,42.29424681,-82.95702434,NO,MEDIUM
CORA GREENWOOD,11824 LITTLE RIVER BLVD,42.32702236,-82.89824168,NO,MEDIUM
CROWLEY,3325 COLLEGE AVENUE,42.29513516,-83.07149034,NO,SMALL
CURRY,1400 RICHARDIE BLVD,42.25977599,-83.02308287,NO,MEDIUM
CURRY PLAYLOT,1074 CURRY AVENUE,42.3011442,-83.04902771,NO,MEDIUM
DAWSON,1003 DAWSON ROAD,42.32301414,-82.97621391,YES,SMALL
DEVONSHIRE HEIGHTS,1697 CALDERWOOD AVENUE,42.26893615,-82.98576271,YES,SMALL
DYNASTY,605 DYNASTY STREET,42.24919588,-82.9930845,NO,SMALL
EAST END,569 ADELAIDE AVENUE,42.33472135,-82.91442285,NO,MEDIUM
EAST RIVERSIDE - RADCLIFF/MCNORTON,11736 MCNORTON STREET,42.31692328,-82.89612105,NO,MEDIUM
EAST RIVERSIDE -BLUE HERON,11735 MCNORTON STREET,42.32242508,-82.8994665,NO,MEDIUM
ELIZABETH KISHKON,1415 BANWELL ROAD,42.32388844,-82.90403273,YES,LARGE
ELIZABETH KISHKON- WEST,1415 BANWELL ROAD,42.32316437,-82.90593067,YES,LARGE
ERNEST ATKINSON,2005 RIVERSIDE DRIVE W,42.31224123,-83.06320362,YES,LARGE
ESDRAS,1191 ESDRAS AVENUE,42.32044608,-82.96091171,YES,SMALL
FACTORIA,1775 FACTORIA ROAD,42.30556737,-82.99475716,NO,SMALL
FAZIO,3012 FAZIO DRIVE,42.26120714,-83.04315566,NO,MEDIUM
FIELD OF DREAMS,1434 CURRY AVENUE,42.29611725,-83.04455833,NO,SMALL
FLORA,430 FLORA AVENUE,42.33842147,-82.92829422,YES,SMALL
FONTAINEBLEAU,2960 RIVARD AVENUE,42.2955545,-82.95262946,YES,LARGE
FORD TEST TRACK,3001 SEMINOLE STREET,42.30818193,-82.98616365,YES,LARGE
FOREST GLADE - NORTH,3265 FOREST GLADE DRIVE,42.30428658,-82.91771601,NO,MEDIUM
FOREST GLADE-COMM CENTRE,3265 FOREST GLADE DRIVE,42.30285045,-82.91599429,NO,MEDIUM
FRANCOIS,895 FRANCOIS COURT,42.32307916,-82.98058827,NO,SMALL
FRED THOMAS,400 WYANDOTTE STREET E,42.31654325,-83.03107004,NO,LARGE
GANATCHIO TRAIL,400 RIVERDALE AVENUE,42.33862013,-82.92177675,NO,SMALL
GARRY DUGAL,1247 DROUILLARD ROAD,42.31672172,-82.99764215,NO,MEDIUM
GARWOOD,765 IRVINE AVENUE,42.29750878,-83.0132766,NO,MEDIUM
GEORGE PARK,4085 WYANDOTTE STREET E,42.32440178,-82.98722364,YES,LARGE
GIGNAC,705 SHEPHERD STREET E,42.30360862,-83.01805383,NO,LARGE
GOLDENWOOD,4355 GOLDENWOOD DRIVE,42.24561873,-82.98532256,YES,SMALL
HALL FARMS,3030 CONSERVATION DRIVE,42.27917676,-82.98882183,YES,LARGE
HAWTHORNE,7645 HAWTHORNE DRIVE,42.30886534,-82.93156891,NO,MEDIUM
HOMESITE,998 VILLAIRE AVENUE,42.32470503,-82.96643079,NO,MEDIUM
JACKSON,125 TECUMSEH ROAD E,42.29201456,-83.02437029,YES,LARGE
KENILWORTH,3466 WHITESIDE DRIVE,42.26641983,-83.00343259,NO,MEDIUM
KIDS'S ALLIANCE,1075 UNIVERSITY AVENUE E,42.32181466,-83.02321292,NO,MEDIUM
KIWANIS,7689 RIVERSIDE DRIVE E,42.33756484,-82.94921806,YES,MEDIUM
KOMINAR,4650 ALPENROSE AVENUE,42.23768409,-82.99226116,NO,SMALL
LABADIE,1386 LABADIE ROAD,42.31740295,-82.9869105,NO,MEDIUM
LAKE COMO,4500 SOUTHWOOD LAKES BLVD,42.24322819,-82.99169163,YES,MEDIUM
LAKE LAGUNA,5001 SOUTHWOOD LAKES BLVD,42.23932243,-82.98250384,NO,MEDIUM
LANSPEARY,1250 LANGLOIS AVENUE,42.30992717,-83.01443714,YES,LARGE
LEAFIELD,3083 CONSERVATION DRIVE,42.27795167,-82.99203969,YES,SMALL
LEGACY (NFL BOUNDLESS PLAYGROUND),620 RIVERSIDE DR W,42.31771662,-83.04939906,YES,LARGE
LITTLE RIVER ACRES,8575 LITTLE RIVER ROAD,42.32685377,-82.93137245,YES,LARGE
LITTLE RIVER CORRIDOR,10091 RIVERSIDE DRIVE E,42.32660938,-82.92493388,NO,SMALL
MALDEN PARK,4200 MALDEN ROAD,42.27706101,-83.06075959,YES,LARGE
MAPLE LEAF,3974 MAPLE LEAF CRES,42.26008289,-82.97670947,NO,MEDIUM
MARGURIET,2665 MARGURIET STREET,42.24964292,-83.03225109,YES,SMALL
MARK,3125 MARK AVENUE,42.26500035,-83.02823128,YES,MEDIUM
MATTHEW RODZIK,545 RODFAM DRIVE,42.24026625,-83.0024077,NO,MEDIUM
MAURICE BELANGER,3980 MALDEN ROAD,42.28095701,-83.0596382,NO,MEDIUM
MAYFAIR,2539 CHANDLER ROAD,42.29703258,-82.98139966,NO,MEDIUM
ROBERT MCDONALD (MCDONALD NORTH),3971 YPRES AVENUE,42.3027091,-82.97579692,NO,LARGE
MEADOWBROOK,2851 MEADOWBROOK LANE,42.30563337,-82.93255104,YES,LARGE
MIC MAC,3940 CARMICHAEL ROAD,42.28775562,-83.07201601,YES,LARGE
MIC MAC - NORTH,3940 CARMICHAEL ROAD,42.28824578,-83.07109775,YES,LARGE
MIC MAC (KIMMY LUCIER),3940 CARMICHAEL ROAD,42.28243138,-83.06966799,YES,LARGE
MITCHELL,399 GILES BLVD W,42.30330096,-83.03527634,YES,MEDIUM
MORNINGSTAR,10741 LITTLE RIVER BLVD,42.32484233,-82.91181348,NO,SMALL
NORTH MERRITT,953 MERRITT DRIVE,42.30006041,-83.05791979,NO,SMALL
NORTH TALBOT,1299 HIGHNOON DRIVE,42.24367404,-82.97811653,YES,LARGE
OAK ELM,1250 ELM AVENUE,42.30049569,-83.04286828,YES,MEDIUM
OPTIMIST MEMORIAL,1075 YPRES AVENUE,42.29246559,-83.0021267,NO,LARGE
PALMETTO,11518 PALMETTO DRIVE,42.30973502,-82.89840632,NO,MEDIUM
PARENT,2286 PARENT AVENUE,42.29468566,-83.00794263,YES,SMALL
PARTINGTON,2725 PARTINGTON AVENUE,42.27014247,-83.03570989,NO,MEDIUM
PATERSON,3063 SANDWICH STREET,42.30588917,-83.07348265,NO,SMALL
PATRICK MAGUIRE,3782 HOLBURN STREET,42.26081772,-82.98664672,NO,MEDIUM
POLONIA PARK,4923 MILLOY STREET,42.31329069,-82.96827748,YES,LARGE
PYKES,5497 LASSALINE AVENUE,42.3157256,-82.96326512,NO,MEDIUM
REALTOR,1198 HOMEDALE BLVD,42.32196236,-82.95377267,YES,LARGE
REMINGTON BOOSTER,2710 LILLIAN AVENUE,42.2857611,-83.00571144,YES,LARGE
RIVERSIDE BASEBALL (MIRACLE PARK),6755 WYANDOTTE STREET E,42.33001085,-82.95546469,YES,LARGE
ROBERT,2747 ROBERT ROAD,42.29674888,-82.96511125,NO,MEDIUM
ROSELAND,870 MORAND STREET,42.25640639,-82.98575152,NO,MEDIUM
ROSEVILLE GARDENS,6405 ROSEVILLE GARDEN DRIVE,42.30744,-82.9455928,NO,MEDIUM
SANDPOINT BEACH,10300 RIVERSIDE DRIVE E,42.33858987,-82.91959205,NO,LARGE
SENECA,3515 WILDWOOD DRIVE,42.30009199,-82.91156513,NO,MEDIUM
SHAWNEE,5099 COLBURNE DRIVE,42.291074,-82.95481784,NO,SMALL
SOUTH CAMERON WOODLOT,1761 KENORA STREET,42.28236751,-83.04059021,YES,LARGE
SOUTH CAMERON WOODLOT - RANKIN,1761 KENORA STREET,42.27940476,-83.04233859,YES,LARGE
SOUTH RENDEZVOUS,11997 RIVERSIDE DRIVE E,42.33233111,-82.89649854,NO,SMALL
SOUTH TILSTON,1346 TILSTON DRIVE,42.29432806,-83.05375742,YES,SMALL
SOUTHDALE,1644 SOUTHDALE DRIVE,42.28972288,-82.99394752,NO,MEDIUM
SPRINGHOLLOW,2597 LUXURY AVENUE,42.31507558,-82.90679197,NO,MEDIUM
ST.PAUL GROVE,1020 ST PAUL AVENUE,42.32957583,-82.94270125,NO,MEDIUM
STILLMEADOW,2940 STILLMEADOW ROAD,42.30979697,-82.91148943,NO,MEDIUM
STODGELL,1650 SENECA STREET,42.30446662,-83.00306111,YES,MEDIUM
STRAITH,1751 RIVERSIDE DRIVE W,42.31367662,-83.06087787,NO,SMALL
SUPERIOR,1700 TOTTEN STREET,42.29004617,-83.04598546,YES,LARGE
THOMPSON,5410 EDGAR STREET,42.32176006,-82.96767415,NO,MEDIUM
THURSTON,2763 RIVARD AVENUE,42.30129158,-82.95441024,NO,MEDIUM
TRANBY,6899 TRANBY AVENUE,42.31995378,-82.94852018,NO,MEDIUM
UDINE,2891 BYNG ROAD,42.28729408,-82.98812193,NO,MEDIUM
VETERANS MEMORIAL,1120 COUSINEAU ROAD,42.24541747,-83.00977774,NO,LARGE
WALKER HOMESITE,1900 SEYMOUR BLVD,42.27750633,-82.98303397,YES,LARGE
WELLINGTON,352 WELLINGTON STREET,42.31288715,-83.05244081,NO,SMALL
WIGLE,397 ERIE STREET E,42.31031209,-83.02844746,YES,LARGE
WILDWOOD,3950 WILDWOOD DRIVE,42.304109,-82.90190634,NO,LARGE
WILLISTEAD,1899 NIAGARA STREET,42.31675143,-83.00858623,NO,LARGE
WILSON,700 MCEWAN AVENUE,42.30604014,-83.05314403,NO,LARGE
SOMME(YPRES),4500 SOMME AVENUE,42.30514679,-82.96903918,YES,MEDIUM
WESTCOTT,3698 ALICE ST,42.31133656,-82.98297548,NO,SMALL
KINSMEN CHATHAM STREET,735 CHATHAM ST. E,42.32171381,-83.02910587,NO,SMALL
OAKWOOD,2401 PULFORD STREET,42.25788549,-83.03630384,YES,MEDIUM
WOLFE LAKE,4823 SOUTHWOOD LAKES BLVD,42.23645587,-82.98772209,NO,SMALL
LAKE TRAIL DRIVE,846 LAKE TRAIL DRIVE,42.24078171,-82.98801568,NO,SMALL
HOLBURN,4211 MARLO CRES,42.24998759,-82.98812726,YES,MEDIUM
JENNIFER, ,42.2836201,-82.99556136, , 
LEGACY,620 RIVERSIDE DR W,42.31911925,-83.04473162,YES, 
DEVONSHIRE PARK,2005 DEVONSHIRE CRT,42.3129885,-83.00594252, , 
FRED THOMAS,400 WYANDOTTE ST E,42.31693,-83.03032, , 
KOMINAR PARK,4650 ALPENROSE AVE,42.23776171,-82.99197726, , 
ALEXANDER PARK,3700 RIVERSIDE DR E,42.3272877,-82.99236379999999
ALTON C PARKER,900 MERCER ST,47.6245275,-122.342907
ASSUMPTION,1902 RIVERSIDE DR W
AVON CT,3901 KENNEDY DR W,30.3867129,-81.7385705
AVONDALE PLAYLOT,402 GRAND MARAIS RD W,42.2743023,-83.0156299
AYLMER REST STATION,550 RIVERSIDE DR E,42.3213848,-83.0319724
BERT WEEKS MEMORIAL FOUNTAIN,900 RIVERSIDE DR E,42.3222124,-83.0282036
BRIDGE'S BAY,3790 RIVERSIDE DR E,42.3267393,-82.99648739999999
BROADWAY,599 BROADWAY ST
BROCK,3278 RUSSELL ST
BRUCE,700 BRUCE AVE,44.1594552,-81.6404273
BUSH,9475 ESPLANADE DR,27.6869228,-97.37661419999999
CADILLAC ST,290 DROUILLARD RD,42.3247771,-83.00171879999999
CAPTAIN WILSON,3950 DUCHARME ST,42.2525808,-82.97234069999999
CARON AVE,774 CARON AVE,42.30965,-83.04299
CARON AVE PUMPING STATION,620 RIVERSIDE DR W,42.3181776,-83.04771649999999
CENTENNIAL,1530 RIVERSIDE DR W,42.3152977,-83.0585907
CHARLES CLARK SQUARE,215 CHATHAM ST E,42.3188495,-83.03634339999999
CHATHAM ST,62 CHATHAM ST E,42.3189441,-83.0381699
CITY HALL SQUARE,350 CITY HALL SQ W,42.3170249,-83.0350378
CIVIC GREEN,217 RIVERSIDE DR E,42.31999,-83.03693
CIVIC TERRACE,200 RIVERSIDE DR E,42.3207163,-83.035575
CLAIRVIEW BIKEWAY,8101 CLAIRVIEW AVE,42.3383595,-82.9447209
CLAY,1498 HALL AVE,42.3090192,-83.0116171
CLIFFORD AND JOAN HATCH WILDFLOWER GARDEN (GREAT WESTERN),1388 RIVERSIDE DR E
COLETTA,2979 COLETTA CRT,42.2941999,-82.95707
COLLEGE AVE BIKEWAY,3690 COLLEGE AVE
COMPTON COURT,600 COMPTON CRT
COVENTRY GARDENS (REAUME),4714 RIVERSIDE DR E,42.32921229999999,-82.9800606
CROWLEY,3315 COLLEGE AVE
CURRY PLAYLOT (CURRY AT GROVE - WEST WINDSOR),1074 CURRY AVE,42.49412239999999,-83.13835619999999
CURRY (CURRY AT RICHARDIE - SOUTH WINDSOR),1400 RICHARDIE BLVD,42.25951999999999,-83.02237
DAWSON,1003 DAWSON RD,31.582063,-84.17664409999999
DERWENT,7911 FOREST GLADE DR,42.295913,-82.9264786
DEVONSHIRE,2005 DEVONSHIRE CRT
DEVONSHIRE HEIGHTS,1697 CALDERWOOD AVE,42.27428,-82.9860099
DIEPPE GARDENS,78 RIVERSIDE DR W,40.835811,-73.9486535
DYNASTY,605 DYNASTY ST,42.24938,-82.99345
EAST END,569 ADELAIDE AVE,41.7939765,-71.4312216
EAST RIVERSIDE / BLUE HERON LAKE,11735 MCNORTON ST,42.3152171,-82.89143949999999
EAST RIVERVIEW,8788 RIVERSIDE DR E,42.3424596,-82.93717319999999
ELIZABETH KISHKON PARK,1415 BANWELL RD,42.32373,-82.90494
ERNEST ATKINSON,2005 RIVERSIDE DR W,42.3120199,-83.0626599
ESDRAS,1191 ESDRAS AVE,42.320646,-82.96151850000001
FACTORIA,1775 FACTORIA RD,42.30505,-82.99449
FESTIVAL PLAZA,340 RIVERSIDE DR E
FIELD OF DREAMS,1434 CURRY AVE,42.29618,-83.04456990000001
FIRGROVE BLVDS,9850 FIRGROVE DR,42.3214294,-82.90743049999999
FLORA,430 FLORA AVE,49.9138685,-97.143237
FORD TEST TRACK,3001 SEMINOLE ST,42.36504499999999,-83.00162809999999
FOREST GLADE OPTIMIST PARK,3265 FOREST GLADE DR,42.30296,-82.91698
FOUNTAINEBLEU,2960 RIVARD AVE,42.2962316,-82.9518362
FRANCOIS,895 FRANCOIS CRT,42.32247,-82.98066
FRED THOMAS / WINDSOR WATER WORLD,400 WYANDOTTE ST E,42.3169432,-83.0311866
GANATCHIO PARK,10554 RIVERSIDE DR E,42.3367983,-82.9157074
GANATCHIO TRAIL,400 RIVERDALE AVE,40.9185341,-73.90122079999999
GARWOOD,765 IRVINE AVE,33.6251561,-117.9119327
GARY DUGAL,1247 DROUILLARD RD,42.31603,-82.99835
GEORGE,4085 WYANDOTTE ST E,42.3245784,-82.98721979999999
GIGNAC,705 SHEPHERD ST E,42.30276,-83.01765
GINO MARCUS,1168 DROUILLARD RD,42.3188981,-82.99794659999999
GIRARDOT,2100 GIRARDOT ST,42.2979,-83.05461
GOLDENWOOD,4355 GOLDENWOOD DR,42.24597,-82.98514999999999
GOOSE BAY,4386 RIVERSIDE DR E,42.32813,-82.98494
GRAND MARAIS DRAIN TRAIL,939 GRAND MARAIS RD E,42.28464,-82.99437999999999
GROVE,2297 GROVE AVE,37.552763,-77.4682974
HALL FARMS,3030 CONSERVATION DR,42.2799075,-82.99193389999999
HAWTHORNE PARK,2861 LAUZON RD,42.3054843,-82.92797039999999
HERB GRAY NATURE RESERVE,925 LAKE TRAIL DR,41.7983566,-88.1084257
HOMESITE,998 VILLAIRE AVE,42.32474,-82.96647999999999
HOWARD,2910 HOWARD AVE
HURON CHURCH GREENBELT,1015 HURON CHURCH RD,42.28675,-83.05808999999999
JACKSON,125 TECUMSEH RD E,42.2959312,-83.02305419999999
JENNIFER,2935 JENNIFER DR
JOINT JUSTICE,218 CHATHAM ST E,42.3190922,-83.0365746
KENILWORTH,3466 WHITESIDE DR
KENNEDY SQUARE,1250 HOWARD AVE,41.3059467,-72.9375546
KIDS ALLIANCE PARK,1075 UNIVERSITY AVE E,43.5022591,-80.4951358
KINSMEN,735 CHATHAM ST E,42.32149,-83.02911
KIWANIS,7689 RIVERSIDE DR E,42.33717,-82.94910000000002
KOMINAR,4650 ALPENROSE AVE,30.210838,-81.5586443
LABADIE,1386 LABADIE RD,42.31812,-82.98711999999999
LAKE GRANDE,5014 SOUTHWOOD LAKES BLVD,42.2409899,-82.98517
LAKE TRAIL,846 LAKE TRAIL DR
LAKEVIEW PARK MARINA,9200 RIVERSIDE DR E,42.3391904,-82.92993510000001
LANGLOIS CT,2730 PARENT AVE,42.28671,-83.00121
LANSPEARY,1250 LANGLOIS AVE,42.3100462,-83.01515370000001
LEAFIELD,3083 CONSERVATION DR,42.27838,-82.99195
LENS AVE GREENBELT,758 LENS AVE,42.29491,-83.01209
LITTLE RIVER ACRES,8575 LITTLE RIVER RD,33.7289065,-78.8500699
LITTLE RIVER BLVD,9903 LITTLE RIVER BLVD,25.8636708,-80.2258167
LITTLE RIVER BLVD / MORNINGSTAR,10741 LITTLE RIVER BLVD,42.3249799,-82.91006999999999
LITTLE RIVER CORRIDOR,1418 FLORENCE AVE,33.9745798,-118.2492429
MACKENZIE HALL,3261 SANDWICH ST,42.3004001,-83.0759104
MAGNOLIA,1703 MAGNOLIA AVE,33.87385,-117.5302715
MALDEN,4200 MALDEN RD,42.2772296,-83.0650204
MARGURIET,2665 MARGURIET ST,42.24953,-83.0321699
MARK,3125 MARK AVE
MARTINIQUE,536 MARTINIQUE AVE,42.33296,-82.92394
MATCHETTE,3675 MATCHETTE RD,40.4942813,-80.2978585
MATTHEW RODZIK,545 RODFAM DR,42.24033,-83.00319999999999
MAURICE BELANGER,3980 MALDEN RD,42.2806565,-83.0598909
MAYFAIR,2539 CHANDLER RD
MCDONALD,3971 YPRES AVE,42.30166,-82.97462999999999
MCHUGH,9655 MCHUGH ST,42.3187772,-82.92134539999999
MCKEE,3036 SANDWICH ST,42.30654,-83.07527999999999
MIC MAC,3939 CARMICHAEL RD,32.3563852,-86.2432141
MILL,3176 RUSSELL ST
NORMAN (KINSMEN COMMUNITY CENTRE PLAYGROUND),1730 OLIVE RD,30.5111138,-87.2250677
NORTH MERRITT,953 MERRITT DR,37.8498683,-87.5883001
NORTH TALBOT,1299 HIGHNOON DR,42.24309,-82.97789999999999
NORTH TILSTON,1235 TILSTON DR,42.29653,-83.05569
OAK / ELM,1250 ELM AVE,33.782297,-118.1878
OAKWOOD,2401 PULFORD ST,42.2582072,-83.0364347
OJIBWAY / TOM JOY WOODS,5200 MATCHETTE RD,40.4942813,-80.2978585
OJIBWAY PARKWAY TRAIL,4900 OJIBWAY PKY,42.2676989,-83.0823156
OPTIMIST MEMORIAL,1075 YPRES AVE,42.2924806,-83.0045267
PALMETTO,11518 PALMETTO ST,40.6383133,-73.6683371
PARENT,2286 PARENT AVE,42.29479,-83.00792
PARKWOOD WOODLOT,30175 TEMPLE DR
PARTINGTON,2725 PARTINGTON AVE,42.2703599,-83.03636
PATERSON,3063 SANDWICH ST,42.30516,-83.07369
PATRICK MAGUIRE,3782 HOLBURN ST,42.2603527,-82.9873487
PECHE ISLAND,0 PECHE ISLAND ISLE
PECHE ISLAND LANDING,8734 RIVERSIDE DR E,42.34287630000001,-82.9378844
PIAZZA UDINE (OR VIALA UDINE),10 RIVERSIDE DR E,42.3264173,-83.008269
POLONIA,4923 MILLOY ST,42.31301,-82.9678799
PYKES,5497 LASSALINE AVE,42.31545,-82.96302999999999
RADISSON BIKEWAY,2985 BRUCE AVE,44.9189205,-93.3355883
REAUME OVERFLOW PARKING,2454 PILLETTE RD,42.3050694,-82.966253
REMINGTON PARK,2710 LILLIAN AVE,38.2163285,-85.7813433
RIVERDALE,1069 RIVERDALE AVE,40.8810965,-73.9098127
RIVERSIDE BASEBALL / FORMERLY ST ROSE,6755 WYANDOTTE ST E,42.33046480000001,-82.9554174
RIVERSIDE KIWANIS,9420 LITTLE RIVER RD,33.7289065,-78.8500699
